ENT,MUN,LOC50K,ID_VIV,COBERTURA,ESTRATO,UPM,FACTOR,CLAVIVP,ID_MII,MPER,MCONRES,MSEXO,MEDAD,MFECEMIM,MFECEMIA,MCAUSAEMIG,MCAUSAEMIG_V,MLUGORI_C,MPAIDES_C,MPAIRES,MFECRETM,MFECRETA,MCAUSARETO,MCAUSARETO_V,MCONRESACT,MPERLS,TAMLOC
19,005,0000,190050000343,2,19-005-0000-06,00049,4,01,19005000034302,02,1,1,18,04,2015,01,0101,019,221,1,,,,,,,3
19,005,0000,190050000396,2,19-005-0000-06,00054,4,01,19005000039601,01,1,1,35,08,2015,04,0401,019,221,9,,,,,,,3
19,005,0000,190050000437,2,19-005-0000-06,00059,4,01,19005000043701,02,1,1,25,09,2018,01,0101,019,221,1,,,,,,,3
19,005,0000,190050000437,2,19-005-0000-06,00059,4,01,19005000043702,03,1,1,18,03,2018,01,0101,019,221,1,,,,,,,3
19,005,0000,190050000454,2,19-005-0000-06,00062,4,01,19005000045401,01,1,3,50,05,2017,03,0301,019,221,1,,,,,,,3
19,005,0000,190050000455,2,19-005-0000-06,00062,4,01,19005000045501,01,1,1,19,07,2015,01,0101,019,221,1,,,,,,,3
19,005,0000,190050000513,2,19-005-0000-06,00068,4,01,19005000051301,01,1,3,22,01,2019,02,0102,019,221,1,,,,,,,3
19,005,0000,190050000522,2,19-005-0000-06,00069,3,01,19005000052201,01,1,3,50,04,2016,04,0401,019,221,1,,,,,,,3
19,005,0000,190050000673,2,19-005-0000-06,00083,4,01,19005000067301,01,1,1,34,05,2017,01,0101,019,221,3,01,2019,01,0101,1,01,3
19,005,0000,190050000673,2,19-005-0000-06,00083,4,01,19005000067302,02,1,3,35,05,2017,01,0101,019,221,3,01,2019,01,0101,1,99,3
19,005,0000,190050000673,2,19-005-0000-06,00083,4,01,19005000067303,03,1,1,14,05,2017,03,0301,019,221,3,01,2018,03,0301,1,04,3
19,005,0000,190050000673,2,19-005-0000-06,00083,4,01,19005000067304,04,1,1,9,05,2017,03,0301,019,221,3,01,2018,03,0301,1,05,3
19,005,0000,190050000673,2,19-005-0000-06,00083,4,01,19005000067305,05,1,1,7,05,2017,03,0301,019,221,3,01,2019,03,0301,1,01,3
19,005,0000,190050000687,2,19-005-0000-06,00085,4,01,19005000068701,01,1,1,19,03,2020,01,0101,019,221,1,,,,,,,3
19,005,0000,190050000697,2,19-005-0000-06,00087,5,01,19005000069701,01,1,1,23,08,2015,01,0101,019,221,1,,,,,,,3
